image,snr_db,oracle_psnr
kodim01,-12.0,9.530850929943815
kodim01,-11.5,9.904320949228321
kodim01,-11.0,10.161126537592516
kodim01,-10.5,10.567448227044059
kodim01,-10.0,10.57866203752845
kodim01,-9.5,11.163522775201248
kodim01,-9.0,11.420760084250073
kodim01,-8.5,12.164033855407544
kodim01,-8.0,12.626257815329232
kodim01,-7.5,13.336077421346369
kodim01,-7.0,14.081677805227015
kodim01,-6.5,14.389228672733768
kodim01,-6.0,15.485770465042892
kodim01,-5.5,15.856692271174694
kodim01,-5.0,16.535554375919798
kodim01,-4.5,17.058192114071954
kodim01,-4.0,17.68006072999463
kodim01,-3.5,18.63399401966174
kodim01,-3.0,18.521054509441026
kodim01,-2.5,20.50610049417118
kodim01,-2.0,20.544421332158024
kodim01,-1.5,21.299536857621927
kodim01,-1.0,22.000968332767165
kodim01,-0.5,22.371080538745645
kodim01,0.0,23.397122937618985
kodim01,0.5,24.061588611127455
kodim01,1.0,24.727162790846094
kodim01,1.5,25.518541474192723
kodim01,2.0,25.782915085152517
kodim01,2.5,26.355464762820038
kodim01,3.0,26.784839088932515
kodim01,3.5,27.06421923196934
kodim01,4.0,27.29244994254987
kodim02,-12.0,11.742572429738678
kodim02,-11.5,12.823748680975955
kodim02,-11.0,13.233887959547046
kodim02,-10.5,13.610473241898628
kodim02,-10.0,14.994638224129906
kodim02,-9.5,15.887739833384227
kodim02,-9.0,17.25980300578038
kodim02,-8.5,18.686112413137312
kodim02,-8.0,19.09903299528547
kodim02,-7.5,19.642396106121627
kodim02,-7.0,22.118458447251395
kodim02,-6.5,21.635116170940737
kodim02,-6.0,23.133628372998754
kodim02,-5.5,23.044108140729232
kodim02,-5.0,24.455636936225407
kodim02,-4.5,24.250220783784442
kodim02,-4.0,26.65083012790631
kodim02,-3.5,27.042658411961867
kodim02,-3.0,28.349899135117692
kodim02,-2.5,28.429678569271708
kodim02,-2.0,29.088292587634644
kodim02,-1.5,29.599822935222015
kodim02,-1.0,29.80806918108599
kodim02,-0.5,30.814651856979623
kodim02,0.0,31.346641288715947
kodim02,0.5,31.563634064525573
kodim02,1.0,31.64372368883708
kodim02,1.5,32.26816347222799
kodim02,2.0,32.60265243938338
kodim02,2.5,32.78645325255303
kodim02,3.0,32.9357073622855
kodim02,3.5,33.20351281683874
kodim02,4.0,33.41660984248831
kodim05,-12.0,8.045507680797312
kodim05,-11.5,8.281856259291182
kodim05,-11.0,8.493713282898282
kodim05,-10.5,8.671706087641235
kodim05,-10.0,8.648193217136528
kodim05,-9.5,9.155164621100832
kodim05,-9.0,9.485304441659482
kodim05,-8.5,9.887609660483548
kodim05,-8.0,9.909588568209806
kodim05,-7.5,10.480771436660614
kodim05,-7.0,11.207447992623953
kodim05,-6.5,11.578794128891802
kodim05,-6.0,12.380003528985593
kodim05,-5.5,12.684946601903329
kodim05,-5.0,12.879008974530592
kodim05,-4.5,13.278990933137573
kodim05,-4.0,14.204763766415887
kodim05,-3.5,15.33808567143026
kodim05,-3.0,15.852809724861498
kodim05,-2.5,16.261024030131537
kodim05,-2.0,16.265158979783724
kodim05,-1.5,18.334658054865876
kodim05,-1.0,19.172073449838994
kodim05,-0.5,19.6199356586988
kodim05,0.0,19.67753181344508
kodim05,0.5,20.840708066956907
kodim05,1.0,21.676993136361332
kodim05,1.5,22.419033452033432
kodim05,2.0,23.297415062945763
kodim05,2.5,23.58620385510305
kodim05,3.0,23.899379437985854
kodim05,3.5,25.461956842322444
kodim05,4.0,26.159878286120396
kodim08,-12.0,8.669737604045899
kodim08,-11.5,8.783598789287916
kodim08,-11.0,8.848147198365403
kodim08,-10.5,9.05244192748503
kodim08,-10.0,9.112442441264868
kodim08,-9.5,9.534021390774448
kodim08,-9.0,9.62211853286291
kodim08,-8.5,10.057235256644372
kodim08,-8.0,10.363043300073883
kodim08,-7.5,10.946511681448643
kodim08,-7.0,11.17261465570545
kodim08,-6.5,11.560271428319203
kodim08,-6.0,12.061299609190506
kodim08,-5.5,12.581297802782673
kodim08,-5.0,13.105017619436687
kodim08,-4.5,13.46442172419569
kodim08,-4.0,13.937565132668526
kodim08,-3.5,14.622229825431859
kodim08,-3.0,14.946532212843625
kodim08,-2.5,15.27406596601546
kodim08,-2.0,16.65449475591516
kodim08,-1.5,17.008538195714447
kodim08,-1.0,18.088796078542067
kodim08,-0.5,18.86935971146785
kodim08,0.0,20.137669883711332
kodim08,0.5,20.723815685103002
kodim08,1.0,21.396764554462024
kodim08,1.5,22.527298005159857
kodim08,2.0,23.373285564165464
kodim08,2.5,24.028663892683365
kodim08,3.0,24.90030053553334
kodim08,3.5,25.109038327580766
kodim08,4.0,25.790591509775503
kodim13,-12.0,8.427156481168758
kodim13,-11.5,8.544303950857126
kodim13,-11.0,8.665530110097958
kodim13,-10.5,8.822824592219678
kodim13,-10.0,8.91529192943954
kodim13,-9.5,9.203306830443541
kodim13,-9.0,9.523682639507792
